Order ID,Order Date,Customer Name,Country,State,City,Region,Segment,Ship Mode,Category,Sub0Category,Product Name,Discount,Sales,Profit,Quantity
BN0201107407039,1/1/2011,Ruby Patel,Sweden,Stockholm,Stockholm,North,Home Office,Economy Plus,Office Supplies,Paper,"Enermax Note Cards, Premium",0.5,45,26,3
AZ0201109050313,1/3/2011,Summer Hayward,United Kingdom,England,Southport,North,Consumer,Economy,Furniture,Bookcases,"Dania Corner Shelving, Traditional",0,854,290,7
AZ0201106674300,1/4/2011,Devin Huddleston,France,Auvergne0Rhône0Alpes,Valence,Central,Consumer,Economy,Office Supplies,Art,"Binney & Smith Sketch Pad, Easy0Erase",0,140,21,3
BN0201102819714,1/4/2011,Mary Parker,United Kingdom,England,Birmingham,North,Corporate,Economy,Office Supplies,Art,"Boston Markers, Easy0Erase",0.5,27,22,2
BN0201102819714,1/4/2011,Mary Parker,United Kingdom,England,Birmingham,North,Corporate,Economy,Office Supplies,Storage,"Eldon Folders, Single Width",0.5,17,1,2
AZ020110617423,1/5/2011,Daniel Burke,France,Auvergne0Rhône0Alpes,Echirolles,Central,Home Office,Priority,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Water Color",0,90,21,3
AZ020110617423,1/5/2011,Daniel Burke,France,Auvergne0Rhône0Alpes,Echirolles,Central,Home Office,Priority,Office Supplies,Art,"Sanford Canvas, Fluorescent",0,207,77,4
AZ0201102918397,1/7/2011,Fredrick Beveridge,France,Provence0Alpes0Côte d'Azur,La Seyne0sur0Mer,Central,Corporate,Priority,Furniture,Bookcases,"Bush Floating Shelf Set, Pine",0.1,155,36,1
AZ0201102918397,1/7/2011,Fredrick Beveridge,France,Provence0Alpes0Côte d'Azur,La Seyne0sur0Mer,Central,Corporate,Priority,Office Supplies,Fasteners,"Accos Thumb Tacks, Assorted Sizes",0,33,2,3
AZ0201102918397,1/7/2011,Fredrick Beveridge,France,Provence0Alpes0Côte d'Azur,La Seyne0sur0Mer,Central,Corporate,Priority,Office Supplies,Storage,"Smead Lockers, Industrial",0.1,716,143,4
BN0201103248724,1/8/2011,Archer Hort,France,Languedoc0Roussillon0Midi0Pyrénées,Toulouse,Central,Consumer,Economy,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",0.6,987,1012,6
BN0201103248724,1/8/2011,Archer Hort,France,Languedoc0Roussillon0Midi0Pyrénées,Toulouse,Central,Consumer,Economy,Office Supplies,Art,"Binney & Smith Sketch Pad, Blue",0.5,116,56,5
AZ0201106712797,1/11/2011,Evie Flockhart,Italy,Liguria,Genoa,South,Consumer,Economy,Office Supplies,Binders,"Ibico Hole Reinforcements, Recycled",0,22,7,3
AZ0201104827146,1/11/2011,Faith Greenwood,Austria,Vienna,Vienna,Central,Consumer,Economy,Office Supplies,Art,"Boston Canvas, Fluorescent",0,55,10,1
AZ0201104827146,1/11/2011,Faith Greenwood,Austria,Vienna,Vienna,Central,Consumer,Economy,Office Supplies,Storage,"Smead Trays, Single Width",0,97,31,2
AZ0201106439906,1/11/2011,Summer Hayward,Spain,Murcia,Murcia,South,Consumer,Economy,Furniture,Tables,"Bevis Training Table, with Bottom Storage",0.6,268,342,2
AZ0201106439906,1/11/2011,Summer Hayward,Spain,Murcia,Murcia,South,Consumer,Economy,Office Supplies,Labels,"Novimex File Folder Labels, Alphabetical",0,40,6,5
AZ0201107053593,1/11/2011,Gracie Powell,United Kingdom,England,Woking,North,Consumer,Immediate,Furniture,Chairs,"SAFCO Executive Leather Armchair, Red",0,1384,14,3
AZ0201107053593,1/11/2011,Gracie Powell,United Kingdom,England,Woking,North,Consumer,Immediate,Office Supplies,Art,"Binney & Smith Canvas, Blue",0,103,20,2
AZ0201105702370,1/12/2011,Hershel Snyder,Germany,Lower Saxony,Lohne,Central,Corporate,Economy,Furniture,Bookcases,"Ikea Stackable Bookrack, Traditional",0.1,552,165,5
AZ0201105702370,1/12/2011,Hershel Snyder,Germany,Lower Saxony,Lohne,Central,Corporate,Economy,Office Supplies,Art,"Binney & Smith Canvas, Blue",0,257,49,5
AZ0201105702370,1/12/2011,Hershel Snyder,Germany,Lower Saxony,Lohne,Central,Corporate,Economy,Office Supplies,Binders,"Ibico Index Tab, Clear",0,17,6,2
AZ0201105702370,1/12/2011,Hershel Snyder,Germany,Lower Saxony,Lohne,Central,Corporate,Economy,Technology,Machines,"Epson Printer, White",0,522,21,2
AZ0201109927716,1/12/2011,Julia Martell,United Kingdom,England,Leicester,North,Home Office,Economy,Furniture,Chairs,"Hon Chairmat, Adjustable",0,290,70,5
AZ0201102222024,1/12/2011,Viola Watson,United Kingdom,England,Sheffield,North,Consumer,Priority,Office Supplies,Paper,"Green Bar Note Cards, Multicolor",0.5,34,6,2
BN0201104913858,1/13/2011,Julian Dobie,Netherlands,South Holland,Dordrecht,Central,Consumer,Economy,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Durable",0.5,9,3,3
